Common name,Lat_Min,Lat_Max,Lon_Min,Lon_Max,Year_Min,Year_Max,Count
Spotted Redshank,57.122057,57.634386,-2.3071639999999998,-1.80968,1985.0,2010.0,220
Starling,56.185331000000005,57.717907999999994,-4.039053,-1.7763490000000002,1960.0,2010.0,1561
Stejneger's Stonechat,57.282495,57.652366,-2.728683,-1.842642,2009.0,2009.0,6
Steppe Grey Shrike,57.61645,57.625418999999994,-1.9095970000000002,-1.876089,2010.0,2010.0,8
Stilt Sandpiper,57.616404,57.625404,-1.9095970000000002,-1.8593810000000002,2009.0,2009.0,13
Stock Dove,56.753358999999996,57.68650699999999,-3.678743,-1.7763490000000002,1960.0,2009.0,396
Stonechat,56.636348999999996,57.709095,-3.987675,-1.7514060000000002,1960.0,2010.0,721
Storm Petrel,56.771435,57.763985999999996,-2.429339,-1.7514060000000002,1998.0,2008.0,131
Subalpine Warbler,57.346985,57.355976,-1.9434759999999998,-1.9268740000000002,2005.0,2005.0,2
Surf Scoter,57.176308999999996,57.32904,-2.092648,-1.993341,2000.0,2005.0,210
Swallow,56.191572,57.697322,-4.22238,-1.692752,1960.0,2010.0,1580
Swan,56.37443100000001,57.238121,-3.710961,-2.0595830000000004,1997.0,1997.0,14
Swift,56.185331000000005,57.697322,-4.491695,-1.7514060000000002,1900.0,2010.0,765
Swinhoe's Petrel,57.09545,57.09545,-2.0924009999999997,-2.0924009999999997,2000.0,2000.0,1
Taiga Bean Goose,57.092004,57.643406999999996,-2.933998,-1.842913,2000.0,2009.0,16
Tawny Owl,56.170338,57.67443000000001,-3.9566230000000004,-1.80968,1900.0,2010.0,387
Tawny Pipit,57.346993000000005,57.346993000000005,-1.9434900000000002,-1.9434900000000002,2000.0,2000.0,1
Teal,56.203298,57.697322,-3.750317,-1.7763490000000002,1900.0,2010.0,1553
Temminck's Stint,57.0,58.0,-2.0,-2.0,2004.0,2010.0,56
Tern Species,56.762398,57.508494999999996,-2.801609,-1.7763490000000002,2000.0,2000.0,19
Thrush Nightingale,57.311075,57.418769999999995,-1.9933439999999998,-1.843489,2004.0,2009.0,9
Thrush Species,56.391949,57.648334999999996,-3.7105580000000002,-2.11,1995.0,1995.0,5
Tree Pipit,56.762398,57.687994999999994,-4.0730260000000005,-1.7763490000000002,1900.0,2008.0,218
